,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Windspeed
0,Longyearbyen,0,NO,1515297000,48,78.2198,15.6349,21.2,24.16
1,Mar del Plata,36,AR,1515299964,50,-46.4276,-67.5191,67.17,17.49
2,Beisfjord,48,NO,1515298800,92,68.3751,17.5988,15.8,2.17
3,Ushuaia,40,AR,1515297600,71,-54.807,-68.3074,51.8,5.82
4,Cape Town,90,ZA,1515297600,93,-33.929,18.4174,66.2,13.87
5,Ponta do Sol,92,BR,1515300123,98,-20.6335,-45.9989,65.06,3.4
6,Georgetown,40,GY,1515297600,100,6.8026,-58.1629,73.4,4.7
7,Hofn,92,IS,1515300126,100,64.2539,-15.2082,29.24,12.46
8,Qaanaaq,44,GL,1515300126,100,77.484,-69.3633,-4.7,12.68
9,Grindavik,75,IS,1515297600,100,63.8424,-22.4338,33.8,23.04
10,Clyde River,40,CA,1515297600,84,70.4692,-68.5915,-2.21,27.51
11,Petlawad,0,IN,1515300128,58,22.9599,74.8228,71.58,6.64
12,Hermanus,36,ZA,1515300129,81,-34.4176,19.2361,66.63,4.74
13,Espirito Santo do Pinhal,88,BR,1515300130,98,-22.1159,-46.6828,65.82,3.62
14,Bredasdorp,44,ZA,1515300131,86,-34.5331,20.0428,70.19,21.63
15,Punta Arenas,75,CL,1515297600,81,-53.1627,-70.9081,50,11.41
16,Port Elizabeth,1,US,1515297360,55,39.3134,-74.9811,12.2,9.17
17,Narsaq,80,GL,1515297000,78,60.9127,-46.0453,32,51.67
18,Albany,90,US,1515297240,44,42.6512,-73.755,-0.41,16.11
19,Ribeira Grande,88,PT,1515300134,99,38.5167,-28.7001,64.61,17.16
20,San Cristobal,20,EC,1515297600,87,-0.3855,-78.5488,46.4,2.24
21,Dikson,8,RU,1515300136,100,73.5069,80.5464,1.61,5.53
22,Gobabis,92,NA,1515300137,34,-22.4496,18.9725,80.94,4.07
23,Iquitos,40,PE,1515297600,88,-3.749,-73.2459,77,2.24
24,Algeciras,0,ES,1515297600,66,36.1311,-5.4488,50,19.46
25,Luderitz,48,NA,1515300138,94,-26.6481,15.1594,61.68,11.79
26,Port Alfred,0,ZA,1515300139,81,-33.5906,26.891,73.61,5.75
27,Nara,75,JP,1515297600,39,34.6845,135.8048,46.4,3.36
28,East London,0,ZA,1515300141,96,-33.0153,27.9116,73.97,3.06
29,Jamestown,0,AU,1515299917,20,-33.2075,138.6035,99.44,3.51
30,Saint-Augustin,75,FR,1515299400,100,44.8323,-0.6091,46.4,9.17
31,Saquarema,75,BR,1515297600,100,-22.9258,-42.5077,77,3.36
32,Tasiilaq,92,GL,1515297000,67,65.6145,-37.6368,17.6,40.26
33,Cayenne,75,GF,1515297600,88,4.9371,-52.3259,77,3.36
34,El Alto,75,BO,1515297600,87,-16.4962,-68.1917,42.8,2.24
35,Taoudenni,0,ML,1515300147,49,22.6783,-3.9837,46.11,7.76
36,Marsa Matruh,20,EG,1515297600,93,31.3525,27.2453,48.2,3.36
37,Bambous Virieux,75,MU,1515297600,88,-20.3428,57.7575,82.4,13.87
38,Acton Vale,1,CA,1515297600,57,45.6476,-72.5641,-7.61,11.41
39,Brae,92,GB,1515298800,65,60.3964,-1.353,42.8,29.97
40,Chuy,0,UY,1515300152,96,-33.6938,-53.4562,55.79,3.18
41,Upernavik,12,GL,1515300152,100,72.7868,-56.1549,7.14,6.53
42,Lidkoping,0,SE,1515298800,85,58.5052,13.1577,23,6.93
43,Namibe,0,AO,1515300153,100,-15.1902,12.1531,71.99,2.95
44,Kargat,36,RU,1515300154,71,55.193,80.2828,-5.6,11.01
45,Kilingi-Nomme,12,EE,1515300155,87,58.1503,24.9642,26.36,13.13
46,Paamiut,44,GL,1515300155,90,61.994,-49.6678,33.51,25.1
47,Paithan,0,IN,1515300156,50,19.4752,75.3922,76.85,5.19
48,Arraial do Cabo,88,BR,1515300156,98,-22.9663,-42.0245,75.59,4.07
49,Ilulissat,48,GL,1515297000,52,69.2167,-51.1,17.6,20.8
50,Iqaluit,90,CA,1515297600,76,63.7494,-68.5219,-7.61,39.15
51,Nanortalik,20,GL,1515300158,86,60.1432,-45.2372,30.72,27.22
52,Nueve de Julio,0,AR,1515300159,56,-31.6699,-68.3902,63.71,2.51
53,Busselton,0,AU,1515300159,81,-33.6445,115.3489,76.22,14.47
54,Uvinza,76,TZ,1515300160,90,-5.1028,30.3879,64.92,2.17
55,Huercal-Overa,0,ES,1515300161,100,37.389,-1.9454,45.71,11.01
